  Drive_bh,income,outcome,profit
9069,589.36,204.93,384.43
9070,903.5,189.95,713.55
9071,863.53,286.36,577.18
9072,1044.89,263.79,781.1
9073,1232.24,330.67,901.58
9074,563.81,118.07,445.75
9075,587.53,140.32,447.21
9076,1047.47,227.71,819.76
9077,447.63,133.59,314.04
9078,1157.99,276.88,881.11
9079,1123.24,262.95,860.29
9080,1294.57,307.33,987.24
9081,922.69,218.51,704.19
9082,544.01,172.52,371.48
9083,795.88,188.71,607.17
9084,1190.8,263.83,926.97
9085,807.25,248.52,558.73
9086,1017.82,250.02,767.8
9087,1238.66,262.26,976.4
9088,807.96,229.06,578.9
9089,1121.84,239.19,882.65
9090,80.47,36.08,44.4
9091,1103.73,245.92,857.81
9092,423.53,116.36,307.17
9093,274.96,114.47,160.49
9094,354.54,125.92,228.63
9095,1650.89,407.96,1242.93
9096,1097.46,245.37,852.09
9097,1159.02,266.77,892.25
9098,1247.46,267.57,979.9
9099,902.31,209.85,692.46
9100,953.82,224.12,729.71
9101,1010.74,205.02,805.72
9102,1333.68,305.42,1028.26
9103,828.88,369.63,459.25
9104,1127.27,245.56,881.71
9105,739.17,173.35,565.82
9106,1046.52,287.87,758.65
9107,1246.9,324.91,921.99
9108,1184.35,276.91,907.43
9109,1071.18,189.22,881.96
9110,0,258.82,-258.82
9111,1130.05,243.32,886.73
9112,1049.44,227.51,821.92
9113,990.82,219.69,771.12
9114,871.53,185.16,686.36
9115,934.7,246.57,688.12
9116,860.87,204.75,656.11
9117,1343.02,378.73,964.29
9118,783.55,236.82,546.73
9119,1139.25,219.27,919.99
9120,1288.86,278.1,1010.75
9121,814.54,188.41,626.13
9122,1268.1,292.05,976.05
9123,1330.66,376.23,954.43
9124,1136.85,290.77,846.09
9125,1128.82,257.6,871.22
9126,533.27,135.07,398.2
9127,868.87,251.39,617.48
9128,995.95,253.99,741.96
9129,1082.15,231.76,850.4
9130,1034.56,228.14,806.42
9131,51.94,19.72,32.22
9132,602.07,129.5,472.57
9133,322.96,83.7,239.26
9134,724.43,187.6,536.83
9135,1252.37,262.28,990.09
9136,926.12,250.18,675.94
9137,1292.54,311.66,980.88
9138,838.63,217.87,620.76
9139,1275.46,284.35,991.1
9140,534.98,143.2,391.78
9141,1133.46,275.69,857.77
9142,925.36,213.83,711.52
9143,1015.84,255.41,760.43
9144,32.53,25.88,6.64
9145,676.65,218.5,458.15
9146,845.59,292.12,553.47
9147,971.14,248.06,723.07
9148,1147.48,251.52,895.96
9149,552.6,183.11,369.49
9150,962.08,209.29,752.79
9151,1243.01,293.73,949.28
9152,1070.58,256.06,814.53
9153,34.16,53.86,-19.7
9154,430.12,118.6,311.52
9155,908.77,220.39,688.39
9156,1017.64,242.62,775.02
9157,1046.12,352.94,693.17
9158,683.62,238.72,444.9
9159,305.43,114.45,190.98
9160,1008.03,226.11,781.92
9161,1089.65,292.56,797.08
9162,817.9,176.26,641.64
9163,910.18,208.91,701.27
9164,902.32,291.19,611.13
9165,1118.87,277.11,841.76
9166,557.05,167.04,390.01
9167,763.76,178.12,585.64
9168,1116.12,233.97,882.15
9169,1249.7,367.33,882.37
9170,1003.22,211.47,791.75
9171,1662.42,395.8,1266.62
9172,1306.02,377.41,928.61
9173,813.04,206.91,606.13
9174,1114.85,269.88,844.97
9175,868.46,182.16,686.3
9176,1331.18,268.62,1062.57
9177,1032.84,274.29,758.54
9178,1118.16,203.59,914.57
9179,953.92,256.04,697.88
9180,1396.4,306.27,1090.13
9181,1289.14,366.76,922.37
9182,1134.02,253.63,880.39
9183,408.16,201.57,206.59
9184,1284.12,351.05,933.07
9185,476.9,231.84,245.05
9186,1137.61,265.45,872.15
9187,1039.71,286.92,752.79
9188,688.36,170.18,518.17
9189,1050.65,234.53,816.12
9190,0,144.87,-144.87
9191,699.16,172.05,527.11
9192,1102.95,243.57,859.38
9193,1326.25,338.24,988
9194,474.54,116.33,358.21
9195,959.95,275.02,684.93
9196,1396.17,344.32,1051.85
9197,1323.59,275.03,1048.57
9198,416.75,174.79,241.97
9199,940.72,255.03,685.69
9200,1599.2,412.44,1186.76
9201,1781.95,419.62,1362.33
9202,1165.21,273.43,891.77
